"","venueID","venueCapacity","venueLng","venueLat"
"227","159168",NA,"0.68314","47.39081"
"228","31697","15179","8.64515","50.11218"
"229","1008586",NA,"3.9472768","43.5739728"
"230","31898","17000","13.4387365","52.5059566"
"231","629926","8500","12.5528412","55.6811159"
"232","1603193","17000","4.9371913","52.3134468"
"233","56497","12650","6.8731","51.4901"
"234","2037269",NA,"4.3403377","50.8987575"
"235","2443719","13000","-4.28813","55.86086"
"236","33500",NA,"-79.4239856","43.6327092"
"237","43156","17000","12.0792527","55.6219538"
"238","43161","49000","-0.1277583","51.5073509"
"239","95229","12700","-1.8982367","52.5271069"
"240","51388",NA,"-73.84729","40.7196"
"241","475","22500","-77.587845","38.786011"
"242","2486974","18800","-80.7106699","35.327362"
"243","15066","19300","-80.186736","26.685477"
"244","233538",NA,"-80.1223898","25.8179722"
"245","2151799","15000","-97.6406811","30.13293"
"246","591","9450","-105.1972399","39.6800052"
"247","15928",NA,"-112.0354199","40.6577061"
"248","63084",NA,"-122.666113","45.746432"
"249","514","22000","-122.0780286","37.4233243"
"250","555","18500","-121.5153124","39.0311867"
"251","69998","19500","-117.00606","32.5883"
"252","7211","17376","-118.339373","34.113088"
"253","2095239",NA,"-80.13421","25.770503"
"254","129302","350","18.0560449","59.3334983"
"255","1411658","5000","-115.1732124","36.109622"
"256","68474",NA,"-111.924147","33.501547"
"257","3548609",NA,"174.77613","-36.84724"
"258","30062",NA,"151.0648999","-33.8446084"
"259","30063","15000","144.9813259","-37.8246314"
"260","68183",NA,"151.2359011","-33.9109809"
"261","2744338",NA,"115.76215","-31.73626"
"262","1852538",NA,"115.85211","-31.94843"
"263","33435",NA,"153.0702993","-27.3442052"
"264","814896",NA,"153.0752202","-27.4288055"
"265","1596198",NA,"144.92015","-37.78628"
"266","1062976",NA,"145.0077195","-37.8408513"
"267","36540",NA,"138.58913","-34.94484"
"268","2857008",NA,"55.2707828","25.2048493"
"269","15503",NA,"-116.23892","33.68233"
"270","1024",NA,"-73.925671","40.783766"
"271","46154",NA,"18.5369186","54.5096187"
"272","1052671",NA,"-123.1558991","49.6939509"
"273","1228291",NA,"-115.1732124","36.109622"
"274","889",NA,"-84.36399","33.78424"
"275","2970248",NA,"-77.0450265","38.8855406"
"276","43882",NA,"-97.740716","30.289162"
"277","649",NA,"-97.772176","30.267903"
"278","624","18568","-93.1001467","44.9434383"
"279","477","20000","-73.991556","40.7497096"
"280","1117","20338","-83.051362","42.3251899"
"281","2589333",NA,"-80.1934","25.78479"
"282","2541399",NA,"-90.07983","29.949"
"283","399866",NA,"8.6384213","39.0096938"
"284","3189929",NA,"-115.173592","36.103518"
"285","2815058",NA,"-113.49601","53.54679"
"286","16272","17505","-118.3405316","33.9582047"
"287","497",NA,"-105.010476","39.745565"
"288","5149",NA,"-93.620982","41.592634"
"289","2298254","13000","-1.5438353","53.8036809"
"290","2761953",NA,"-6.23325","53.3472"
"291","71795",NA,NA,NA
"292","62540",NA,"4.44232","51.23079"
"293","35819","23000","10.6286999","59.8995185"
"294","3324844",NA,"12.5737","55.62575"
"295","3025064",NA,"9.89877","53.58984"
"296","3394489",NA,"-2.09764","57.14711"
"297","31006","19500","6.98413","50.93896"
"298","526376",NA,"-115.172249","36.104192"
"299","467",NA,"-111.90113","40.76772"
"300","3479984",NA,"-83.05469","42.34195"
"301","3038314",NA,"-73.92622","40.7107"
"302","91345","1000","-70.78029","-33.51488"
"303","907",NA,"-112.2609115","33.5314673"
"304","3912309",NA,"-90.20262","38.62643"
"305","4067109","15683","-1.91871","52.48265"
"306","80142","350","-81.380945","28.5412984"
"307","523156",NA,"-122.2727","37.80775"
"308","43481",NA,"-96.7844176","32.7846109"
"309","693861",NA,"-84.40692","33.77022"
"310","2422904",NA,"-87.70205","41.86323"
"311","32625",NA,"10.7527981","59.920352"
"312","1021531",NA,"-71.0757486","42.3406474"
"313","51073",NA,"-73.4528926","41.3960048"
"314","68263",NA,"-95.18825","32.4329"
"315","34391","5000","-118.2806695","34.0242739"
"316","1275","1100","-84.3880007","33.7920851"
"317","2938418",NA,"-73.9590597","40.7227868"
"318","689266",NA,"-83.004981","39.972994"
"319","2897028",NA,"-80.2020656","25.7980897"
"320","2531","720","-82.43739","27.96004"
"321","4665","680","-118.2606087","34.0775855"
"322","2126149",NA,"-84.5025328","38.0493472"
"323","1179",NA,"-71.414551","41.823807"
"324","2567864",NA,"-80.192758","25.784528"
"325","59917",NA,"12.557116","55.690915"
"326","2183789",NA,"13.40791","52.50291"
"327","1771448","250","-0.0751825","51.5517702"
"328","89882",NA,"2.35522","48.87232"
"329","29602","2200","5.0919143","51.560596"
"330","29533",NA,"4.8812733","52.3648365"
"331","740206",NA,"-79.4007423","43.6477697"
"332","2501019",NA,"-79.4007423","43.6477697"
"333","2507319",NA,"-118.34017","34.10224"
"334","2840188",NA,NA,NA
"335","1494913",NA,"-157.8448445","21.2941297"
"336","32209","2600","-74.2167","40.812646"
"337","1448428","2000","-77.02793","38.99748"
"338","50095","2400","-71.09567","42.34735"
"339","1956079",NA,"-71.137888","42.402265"
"340","181873","1200","-73.98845","40.73492"
"341","3019369",NA,"-75.13663","39.96609"
"342","1230","2000","-86.151498","39.774645"
"343","785","2900","-83.05173","42.33781"
"344","1087",NA,"-89.3886553","43.0748942"
"345","918","1700","-95.2358532","38.9647957"
"346","1009","3600","-104.977259","39.7403904"
"347","44406",NA,"-111.94373","33.43689"
"348","2243134",NA,"-115.1766701","36.090754"
"349","11976","1100","-117.15961","32.71636"
"350","1401","3500","-118.324535","34.09815"
"351","3127734",NA,"-80.733574","27.35988"
"352","1044",NA,"-121.8895618","37.3306455"
"353","1232","1500","-95.9949986","36.1608978"
"354","2538694",NA,"-90.0620655","29.9329431"
"355","1625873",NA,"-98.49149","29.42472"
"356","13545",NA,"-90.06151","29.93493"
"357","669","2500","-84.39146","33.7587"
"358","38653",NA,"-78.73864","33.79889"
"359","1487","1000","-117.91945","33.69984"
"360","31343","800","-79.9383259","32.7897098"
"361","3012674",NA,"-95.37262","29.74673"
"362","1940899",NA,"-82.10126","39.32924"
"363","289","1050","-82.55117","35.59136"
"364","1290076","4000","-118.2592519","34.0402556"
"365","33822",NA,"-115.1948136","36.1144832"
"366","16319",NA,"-93.1746197","44.9782174"
"367","2002284",NA,"-73.016826","40.764961"
"368","51240","998","-118.340149","34.101158"
"369","754066",NA,"-86.0885993","35.4817431"
"370","3231844",NA,"-80.1331","25.77786"
"371","720",NA,"-74.438391","39.354905"
"372","118906",NA,"-74.4294466","39.380187"
"373","2739148",NA,"-74.42293","39.36428"
"374","45362",NA,"-79.4791397","43.7466226"
"375","3374449",NA,"-118.3858818","34.0825692"
"376","2856348","1100","-117.13138","32.74818"
"377","5229","1100","-104.988015","39.657633"
"378","1421588","1700","-97.7282016","30.2403964"
"379","36239","1600","-96.80809","32.78533"
"380","30866","1500","-95.36406","29.75393"
"381","1505",NA,"-90.0657445","29.9440872"
"382","1244831",NA,"-84.39028","33.75103"
"383","13872","1500","-77.4353949","37.5417961"
"384","878","1450","-76.289459","36.850247"
"385","308931","41800","-73.84322","40.75537"
"386","3417329",NA,"-79.35459","43.6409"
"387","1266",NA,"-79.982546","40.42901"
"388","1204981",NA,"-82.984967","39.96359"
"389","915","800","-83.0414354","42.3322098"
"390","2375994","1600","-87.6900284","41.9185623"
"391","30036",NA,"-114.1295713","51.0755908"
"392","35610",NA,"-113.4864282","53.4985514"
"393","30681","1250","-123.12172","49.28009"
"394","5621","1100","-122.3399932","47.6087897"
"395","1181206",NA,"-121.49069","38.56998"
"396","1418","1400","-122.421425","37.7878749"
"397","1092","800","-122.0255391","36.9713724"
"398","780","2300","-118.30884","34.06194"
"399","34304","700","24.9334073","60.1687989"
"400","1956629",NA,"18.0312189","59.3148909"
"401","509201","850","18.0727775","59.3146605"
"402","1540388",NA,"12.5651939","55.677125"
"403","30968","1350","10.75054","59.9163332"
"404","3060324",NA,"13.436794","52.508725"
"405","76055",NA,"8.68309","50.11545"
"406","2450314",NA,"2.2963705","48.8645723"
"407","1109211",NA,"4.8951679","52.3702157"
"408","121007",NA,"-6.26199","53.34795"
"409","2453379",NA,"4.35658","50.83447"
"410","9022","1500","-0.1170324","51.4598359"
"411","49909",NA,"-117.31131","34.52172"
"412","846531",NA,"8.53938","47.3834"
"413","2990193",NA,"13.39142","52.48469"
"414","2953378",NA,"151.22542","-33.89528"
"415","34999",NA,"144.9926806","-37.8250057"
"416","541186",NA,"-85.79425","30.16948"
"417","1636233",NA,"-97.66108","30.22843"
"418","261591",NA,"-77.7494528","40.7638556"
"419","76653",NA,"-77.747201","40.7644262"
"420","74927",NA,"-117.0125854","46.7311034"
"421","2015104",NA,"-80.187445","25.777073"
"422","49006","65000","-117.4022991","34.2044123"
"423","2023139",NA,"-117.75092","34.05682"
"424","3530914",NA,"-117.7549295","34.0397162"
"425","30173",NA,"-95.3809017","29.7597219"
"426","3570149",NA,"-115.1750272","36.0908614"
"427","3294589",NA,"-79.3510614","43.6445896"
"428","2512614",NA,"5.0919143","51.560596"
"429","1136336",NA,"13.7026398","66.9443405"
"430","2289644",NA,"-117.1610359","32.7150698"
"431","49142",NA,"-92.68526","45.130232"
"432","3485789",NA,"-81.63732","30.32392"
"433","725",NA,"-76.6186943","39.2884951"
"434","36800","87000","-0.9831782","51.464323"
"435","1576","90000","-1.3818431","53.8680691"
"436","15839",NA,"-87.66609","41.88512"
"437","36514",NA,"-118.2656326","34.04503"
"438","5324",NA,"-117.883043","33.80003"
"439","1003","3000","-75.15028","39.95898"
"440","2142419",NA,"-75.1502637","39.9589828"
"441","122562","1800","-81.653895","41.5036612"
"442","955","1000","-83.0601311","42.3511297"
